1,1,2
2,2,2
3,3,2
4,4,2
5,5,2
6,6,2
7,7,2
8,8,2
9,9,2
10,10,2
11,11,2
12,12,2
13,13,2
14,14,2
15,15,7
16,15,12
17,15,13
18,15,8
19,15,14
20,16,7
21,16,15
22,16,16
23,16,14
24,17,7
25,17,17
26,17,18
27,17,14
28,18,7
29,18,19
30,18,20
31,18,14
32,19,7
33,19,21
34,19,22
35,19,14
36,20,7
37,20,23
38,20,24
39,20,14
40,21,7
41,21,23
42,21,25
43,21,26
44,21,14
45,22,7
46,22,27
47,22,28
48,23,7
49,23,29
50,23,28
51,23,8
52,23,14
53,24,7
54,24,30
55,24,31
56,24,14
57,25,7
58,25,32
59,25,24
60,25,14
61,26,7
62,26,23
63,26,28
64,26,26
65,26,14
66,27,7
67,27,21
68,27,33
69,27,14
70,28,11
71,29,11
72,30,11
73,30,35
74,31,11
75,31,35
76,32,11
77,33,11
78,34,11
79,35,11
80,35,39
81,36,11
82,37,11
83,37,41
84,38,11
85,39,11
86,39,44
87,40,11
88,41,11
89,42,11
